,name,MF,PThrottle,PSupply,PGrowth,SimID,OrgID,T,pH,vol
13,Methanobrevibacter_arboriphilus,0.9861264228820801,2.993162570675166e-13,3.0352726599975564e-13,4.209436377947893e-15,112_280520,Methanobrevibacterarboriphilus66_280520,306.5,7.75,7.634070148223197e-19
14,Methanobrevibacter_curvatus,0.9943861961364746,6.003373564594738e-14,6.037265589486124e-14,3.387965779736731e-16,113_280520,Methanobrevibactercurvatus66_280520,303.0,7.1,1.4526724430199204e-19
15,Methanobrevibacter_cuticularis,0.9946980476379395,8.413073518036472e-14,8.457916991005043e-14,4.482247517246442e-16,114_280520,Methanobrevibactercuticularis66_280520,310.0,7.7,1.5079644737231004e-19
16,Methanobrevibacter_filiformis,0.99407958984375,7.496708914225569e-14,7.541356839852135e-14,4.462781626071672e-16,115_280520,Methanobrevibacterfiliformis44_280520,303.0,7.1,1.6619025137490006e-19
17,Methanobrevibacter_oralis,0.9976696968078613,4.4563252017934824e-13,4.4667340464002436e-13,1.0401692357767227e-15,116_280520,Methanobrevibacteroralis57_280520,309.0,7.15,1.5109097168358406e-19
18,Methanocaldococcus_fervens,0.998046875,9.842758690961102e-10,9.862020449651828e-10,8.650412678239193e-13,117_280520,Methanocaldococcusfervens44_280520,358.0,6.5,2.6507188014663884e-18
19,Methanocaldococcus_indicus,0.9951725006103516,4.2379965312914285e-10,4.2585547015137705e-10,2.0333372009064574e-12,118_280520,Methanocaldococcusindicus55_280520,358.0,6.5,6.2831853071795856e-18
20,Methanocaldococcus_infernus,0.9951400756835938,4.0556009733932437e-10,4.0754071436700216e-10,1.9600475470077966e-12,119_280520,Methanocaldococcusinfernus66_280520,358.0,6.5,6.2831853071795856e-18
21,Methanocaldococcus_jannaschii,0.998046875,5.713489747910642e-10,5.72467074546037e-10,5.342777448238402e-13,120_280520,Methanocaldococcusjannaschii71_280520,358.0,6.0,2.6507188014663884e-18
22,Methanocaldococcus_villosus,0.997161865234375,1.9711580174424266e-10,1.976768352427037e-10,5.566057924979501e-13,121_280520,Methanocaldococcusvillosus43_280520,353.0,6.5,2.6507188014663884e-18
23,Methanocaldococcus_vulcanius,0.9933013916015625,1.963524924531562e-10,1.9767665092723237e-10,1.3172374971710673e-12,122_280520,Methanocaldococcusvulcanius40_280520,353.0,6.5,6.2831853071795856e-18
24,Methanocella_conradii,0.9990234375,2.615700350589974e-12,2.618257242428283e-12,2.540678623153258e-15,123_280520,Methanocellaconradii44_280520,325.5,6.8,1.0308350894591506e-19
25,Methanocorpusculum_labreanum,0.9870905876159668,1.1740368123521274e-12,1.189391153235161e-12,1.5349084352338532e-14,124_280520,Methanocorpusculumlabreanum66_280520,310.0,7.0,1.3571680263507906e-18
26,Methanocorpusculum_parvum,0.9935302734375,1.590056540608079e-12,1.6004107606169533e-12,1.0352258920823178e-14,125_280520,Methanocorpusculumparvum43_280520,310.0,7.15,7.853981633974482e-19
27,Methanoculleus_chikugoensis,0.88671875,4.129185629845633e-14,4.656702736742212e-14,5.275151940521463e-15,126_280520,Methanoculleuschikugoensis32_280520,298.0,6.95,2.6507188014663884e-18
28,Methanoculleus_horonobensis,0.9912557601928711,2.1045195924612853e-12,2.1230843511585787e-12,1.8555524352089524e-14,127_280520,Methanoculleushoronobensis66_280520,312.5,6.75,1.1944924317570934e-18
29,Methanoculleus_hydrogenitrophicus,0.9501161575317383,1.9306493520883358e-13,2.0320140193214672e-13,1.013554191381197e-14,128_280520,Methanoculleushydrogenitrophicus66_280520,310.0,6.6,2.1551325603625977e-18
30,Methanoculleus_palmolei,0.95172119140625,5.259620533750946e-13,5.526429989416757e-13,2.668055188708093e-14,129_280520,Methanoculleuspalmolei38_280520,313.0,7.2,3.370155790984753e-18
31,Methanofollis_liminatans,0.97607421875,1.3944933808390596e-12,1.4286755597590766e-12,3.418023700029705e-14,130_280520,Methanofollisliminatans50_280520,313.0,7.0,2.6507188014663884e-18
32,Methanofollis_tationis,0.7049288749694824,4.1971581057090915e-13,5.954016433063256e-13,1.756854891778179e-13,131_280520,Methanofollistationis66_280520,311.5,7.0,2.1205750411731107e-17
33,Methanogenium_frigidum,0.71875,1.4578430364146866e-14,2.0283033550117377e-14,5.704587055814681e-15,132_280520,Methanogeniumfrigidum19_280520,288.0,7.7,4.972846646321369e-18
34,Methanolacinia_paynteri,0.9970951080322266,4.3931748521456244e-12,4.405973729843668e-12,1.2762384525433234e-14,133_280520,Methanolaciniapaynteri66_280520,313.0,7.0,5.654866776461627e-19
35,Methanolinea_mesophila,0.9911980628967285,1.2072115686074194e-13,1.2179317270651255e-13,1.0718533035018e-15,134_280520,Methanolineamesophila66_280520,310.0,7.0,3.0041479749952393e-19
36,Methanoplanus_endosymbiosus,0.994232177734375,2.0429158969013317e-12,2.0547674302361287e-12,1.1822162124878342e-14,135_280520,Methanoplanusendosymbiosus43_280520,305.0,7.0,8.295768100885547e-19
37,Methanopyrus_kandleri,0.9978218078613281,1.5565090766315836e-10,1.5599068534768875e-10,3.374259121088988e-13,136_280520,Methanopyruskandleri66_280520,371.0,6.5,1.5707963267948964e-18
38,Methanoregula_boonei,0.996129035949707,6.077059785431734e-14,6.100675280123604e-14,2.3599417184366605e-16,137_280520,Methanoregulaboonei66_280520,309.0,5.1,9.326603190344698e-20
39,Methanosarcina_soligelidi,0.4047422409057617,3.032719258903908e-15,7.492964539893508e-15,4.460240627878698e-15,138_280520,Methanosarcinasoligelidi55_280520,301.0,7.8,5.3870460027430964e-18
40,Methanosarcina_spelaei,0.0,0.0,7.560532862878929e-15,7.553149523032338e-15,139_280520,Methanosarcinaspelaei33_280520,306.0,6.5,2.1205750411731107e-17
41,Methanosphaerula_palustris,0.9959549903869629,2.696418639044552e-13,2.7073699766260524e-13,1.0926252262905952e-15,140_280520,Methanosphaerulapalustris63_280520,303.0,5.5,2.1568997062302424e-19
42,Methanospirillum_psychrodurum,0.9439873695373535,8.254563955858666e-13,8.744358475796358e-13,4.897639910899482e-14,141_280520,Methanospirillumpsychrodurum66_280520,298.0,7.0,5.8050741752113885e-18
43,Methanothermobacter_tenebrarum,0.9776015281677246,7.260674000916546e-13,7.427028080167701e-13,1.6634473784971373e-14,142_280520,Methanothermobactertenebrarum66_280520,343.0,7.300000000000001,1.3744467859455344e-18
44,Methanothermobacter_thermautotrophicus,0.913818359375,3.4011562617442743e-12,3.7219171915855056e-12,3.2069259991319103e-13,143_280520,Methanothermobacterthermautotrophicus32_280520,340.5,7.4,1.2075496762235766e-17
45,Methanothermococcus_okinawensis,0.998046875,4.200278129002092e-10,4.208497851368045e-10,4.0135976331077183e-13,144_280520,Methanothermococcusokinawensis44_280520,335.5,6.5,1.5339807878856407e-18
46,Methanothermus_fervidus,0.9990234375,1.3498045327803999e-11,1.3511239898016906e-11,1.3073798893364003e-14,145_280520,Methanothermusfervidus39_280520,356.0,6.5,1.924225500323748e-19
47,Methanotorris_formicicus,0.9990234375,4.2574908807954065e-10,4.261652650962362e-10,4.0793231418920235e-13,146_280520,Methanotorrisformicicus44_280520,348.0,6.7,1.1944924317570934e-18
48,Methanocaldococcus_jannaschii,0.9990234375,2.59993159460647e-10,2.602473072216056e-10,2.456843210700378e-13,147_280520,Methanocaldococcusjannaschii82_280520,355.0,6.8,7.853981633974482e-19
