,name,MF,PThrottle,PSupply,PGrowth,SimID,OrgID,T,pH,vol
32,Methanofollis_tationis,0.563260555267334,2.235775075349916e-13,3.9693443015706564e-13,1.7335674033757593e-13,33_280520,Methanofollistationis22_280520,311.5,7.0,2.1205750411731107e-17
33,Methanogenium_frigidum,0.578125,7.817419180774448e-15,1.352202236674499e-14,5.704594536466602e-15,34_280520,Methanogeniumfrigidum7_280520,288.0,7.7,4.972846646321369e-18
34,Methanolacinia_paynteri,0.995643138885498,2.9245231429116255e-12,2.937320640993193e-12,1.277940341235975e-14,35_280520,Methanolaciniapaynteri22_280520,313.0,7.0,5.654866776461627e-19
35,Methanolinea_mesophila,0.9867968559265137,8.012341326639254e-14,8.119544847066202e-14,1.0719273235585077e-15,36_280520,Methanolineamesophila22_280520,310.0,7.0,3.0041479749952393e-19
36,Methanoplanus_endosymbiosus,0.9913330078125,1.357972503591501e-12,1.3698449389756898e-12,1.1852897281521879e-14,37_280520,Methanoplanusendosymbiosus14_280520,305.0,7.0,8.295768100885547e-19
37,Methanopyrus_kandleri,0.9967336654663086,1.0365411149903168e-10,1.0399379000661976e-10,3.381120872093498e-13,38_280520,Methanopyruskandleri22_280520,371.0,6.5,1.5707963267948964e-18
38,Methanoregula_boonei,0.9941935539245605,4.043501357956318e-14,4.0671168526437045e-14,2.3606731956534173e-16,39_280520,Methanoregulaboonei22_280520,309.0,5.1,9.326603190344698e-20
39,Methanosarcina_soligelidi,0.10711336135864258,5.350644122314361e-16,4.9953096928767394e-15,4.460245090026204e-15,40_280520,Methanosarcinasoligelidi22_280520,301.0,7.8,5.3870460027430964e-18
40,Methanosarcina_spelaei,0.0,0.0,5.040353331756045e-15,5.035431105191651e-15,41_280520,Methanosarcinaspelaei11_280520,306.0,6.5,2.1205750411731107e-17
41,Methanosphaerula_palustris,0.9939460754394531,1.7939865174660133e-13,1.8049133265834753e-13,1.0910127927038833e-15,42_280520,Methanosphaerulapalustris19_280520,303.0,5.5,2.1568997062302424e-19
42,Methanospirillum_psychrodurum,0.9150733947753906,5.334486467178411e-13,5.8295722481231e-13,4.950632087956552e-14,43_280520,Methanospirillumpsychrodurum22_280520,298.0,7.0,5.8050741752113885e-18
43,Methanothermobacter_tenebrarum,0.966402530670166,4.784999154724098e-13,4.951352053482176e-13,1.6634674252612894e-14,44_280520,Methanothermobactertenebrarum22_280520,343.0,7.300000000000001,1.3744467859455344e-18
44,Methanothermobacter_thermautotrophicus,0.869140625,2.156579500229834e-12,2.481277986781292e-12,3.246549939360736e-13,45_280520,Methanothermobacterthermautotrophicus10_280520,340.5,7.4,1.2075496762235766e-17
45,Methanothermococcus_okinawensis,0.998046875,2.8001583019690514e-10,2.805638063812435e-10,2.648561322354475e-13,46_280520,Methanothermococcusokinawensis11_280520,335.5,6.5,1.5339807878856407e-18
46,Methanothermus_fervidus,0.998046875,8.989866622705442e-12,9.00745931668334e-12,8.681915244407325e-15,47_280520,Methanothermusfervidus11_280520,356.0,6.5,1.924225500323748e-19
47,Methanotorris_formicicus,0.998046875,2.8355088876847045e-10,2.8410578287564944e-10,2.6756102078752473e-13,48_280520,Methanotorrisformicicus11_280520,348.0,6.7,1.1944924317570934e-18
48,Methanocaldococcus_jannaschii,0.998046875,1.7315696459339366e-10,1.7349582362390911e-10,1.6140832437680343e-13,49_280520,Methanocaldococcusjannaschii25_280520,355.0,6.8,7.853981633974482e-19
